"","Finished","Progress","Consent_statement","Work_from_home_Freq_19","Work_from_home_Freq_20","Weekly_Working_hrs_19","Weekly_Working_hrs_20","Traditional work hours_19  (9-5, Mon - Fri)","Early mornings_19  (5am - 9am)","Early evenings_19  (5pm - 9pm)","Late evenings_19  (5pm - midnight)","Overnight_19 (midnight - 5am)","Traditional work hours_20  (9-5, Mon - Fri)","Early mornings_20  (5am - 9am)","Early evenings_20  (5pm - 9pm)","Late evenings_20 (5pm - midnight)","Overnight_20 (midnight - 5am)","Work_schedule_stability_19","Work_schedule_stability_20","Comfortable_lifestyle_19","Lonely_lifestyle_19","Active_lifestyle_19","Connected_lifestyle_19","Peaceful_lifestyle_19","Chaotic_lifestyle_19","Comfortable_lifestyle_20","Lonely_lifestyle_20","Active_lifestyle_20","Connected_lifestyle_20","Peaceful_lifestyle_20","Chaotic_lifestyle_20","Mental_health_19","Mental_health_20","Expected_Income_2021","Income_2020","Income_2019","Age_Group","Adult_count","Children_count","Postcode_range","Year_of_record","Month_of_record"
"11","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",1,0,0,1,0,NA,NA,NA,NA,NA,"No changes",NA,0,0,1,0,0,0,0,0,0,1,0,0,"Some challenges","Good",137114.314402682,195.908021568687,119255.991229112,"(45,55]","1","0","(3000,3050]",2021,"January"
"12","Yes",100,"Agreed","Never","Always","40+ hours ","40+ hours",1,0,0,0,0,0,0,0,1,0,"No changes","Unpredictable",1,0,1,0,0,1,0,0,0,0,0,0,"Good","Significant challenges",59935.7974271134,67917.1292219738,48523.8157051415,"(45,55]","3","0","(3000,3050]",2021,"January"
"13","Yes",100,"Agreed","Never","Most of the time","40+ hours ","Didn't work",1,0,0,0,0,0,0,0,1,1,"No changes","Varying",0,0,1,1,1,0,0,0,0,0,0,1,"Significant challenges","Some challenges",107535.632487075,110844.240629413,99157.5714983346,"(45,55]","3","1","(3050,3150]",2021,"January"
"14","Yes",100,"Agreed","Never","Never","less than 10 hours  ","less than 10 hours",1,0,0,0,1,1,0,0,0,0,"Unpredictable","Some small changes",0,0,1,1,0,0,1,0,0,1,1,1,"Some challenges","Good",124627.197804643,127703.759797993,113879.752319656,"(55,80]","More than 3","0","(3150,3250]",2021,"January"
"15","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"No changes",NA,1,0,0,1,0,0,0,0,0,1,1,0,"Significant challenges","Good",-553.922168205808,2261.97087143799,78875.6710359273,"(24,45]","2","0","(3000,3050]",2021,"January"
"16","Yes",100,"Agreed","Never","Always","40+ hours ","20-30 hours",1,0,0,0,0,0,1,0,0,1,"Some small changes","Unpredictable",0,0,1,0,0,0,0,0,0,1,0,1,"Significant challenges","Good",194029.958081218,192555.357848225,174726.290978815,"(45,55]","2","2","(3000,3050]",2021,"January"
"17","Yes",100,"Agreed","Sometimes","Always","40+ hours ","30-40 hours",1,1,0,0,0,0,1,0,1,0,"No changes","Unpredictable",1,0,1,0,0,1,0,1,0,1,0,0,"Good","Significant challenges",97815.9708987879,103397.029661975,75976.6238333239,"(45,55]","1","More than 2","(3050,3150]",2021,"January"
"18","Yes",100,"Agreed","Never","Always","40+ hours ","40+ hours",1,0,0,0,0,0,0,0,1,0,"Unpredictable","Varying",1,0,1,0,0,0,0,0,0,1,1,1,"Some challenges","Significant challenges",102755.400034375,101197.440425742,91551.804987454,"(45,55]","3","2","(3050,3150]",2021,"January"
"19","Yes",100,"Agreed","Never","Always","40+ hours ","40+ hours",1,0,0,1,0,0,0,1,0,1,"No changes","Some small changes",0,0,1,0,0,0,1,0,0,0,0,0,"Good","Good",83029.3281785085,89549.3628941887,73366.4522008545,"(24,45]","2","1","(3150,3250]",2021,"January"
"20","Yes",100,"Agreed","Never","Never","10-20 hours  ","less than 10 hours",1,0,0,0,0,1,0,0,1,0,"No changes","No changes",1,0,0,0,1,1,0,0,0,1,0,1,"Some challenges","Significant challenges",57390.559178067,65664.1535803778,38404.2178381066,"(45,55]","1","0","(3150,3250]",2021,"January"
"21","Yes",100,"Agreed","Never","Always","10-20 hours  ","40+ hours",1,0,0,0,0,0,0,0,0,0,"Some small changes","Unpredictable",0,0,0,0,0,0,1,0,0,0,1,0,"Significant challenges","Good",83219.2241915467,91889.4557857072,69946.7974437444,"(45,55]","2","1","(3150,3250]",2021,"January"
"22","Yes",100,"Agreed","Never","Always","40+ hours ","30-40 hours",1,0,1,0,0,1,0,0,1,0,"No changes","No changes",0,0,0,0,0,0,1,0,1,0,0,0,"Good","Some challenges",226507.916940126,239534.296128814,213008.668837278,"(55,80]","1","0","(3050,3150]",2021,"January"
"23","Yes",100,"Agreed","Never","Always","30-40 hours  ","40+ hours",1,0,0,0,0,0,0,1,0,0,"No changes","Some small changes",0,0,0,0,0,1,1,0,0,0,0,0,"Good","Some challenges",144631.714851831,131073.120234907,113991.646919954,"(24,45]","3","0","(3050,3150]",2021,"January"
"24","Yes",100,"Agreed","About half the time","Always","40+ hours ","40+ hours",1,0,1,0,0,0,0,0,1,0,"Some small changes","Varying",0,0,0,1,0,0,1,1,0,1,0,0,"Good","Significant challenges",151712.415658118,174088.045671791,140476.93171796,"(45,55]","2","0","(3050,3150]",2021,"January"
"25","Yes",100,"Agreed","Never","Never","30-40 hours  ","less than 10 hours",1,0,0,0,0,0,0,0,1,1,"Some small changes","No changes",1,0,0,0,0,0,1,0,0,1,0,1,"Good","Significant challenges",119094.123640786,135692.146860275,107471.278246982,"(45,55]","3","1","(3000,3050]",2021,"January"
"26","Yes",100,"Agreed","Never","Always","20-30 hours  ","10-20 hours",1,0,0,0,1,1,0,1,1,0,"No changes","No changes",1,0,1,0,1,0,1,0,0,1,0,0,"Good","Some challenges",128006.730028021,125122.209190445,112919.958197785,"(45,55]","2","2","(3000,3050]",2021,"January"
"27","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",0,1,0,0,1,NA,NA,NA,NA,NA,"No changes",NA,0,0,0,1,0,0,1,0,0,1,0,1,"Good","Good",101225.227406889,-1136.87213022685,86161.2740913605,"(45,55]","1","2","(3150,3250]",2021,"January"
"28","Yes",100,"Agreed","Never","Always","Didn't work","Didn't work",1,0,0,0,0,0,0,0,1,0,"Some small changes","Varying",0,0,1,1,0,0,1,0,1,1,0,0,"Some challenges","Some challenges",38183.5409578703,47287.6324817905,22992.9592303775,"(24,45]","More than 3","0","(3050,3150]",2021,"January"
"29","Yes",100,"Agreed","Never","Always","40+ hours ","40+ hours",1,0,0,0,0,0,0,0,0,1,"Varying","Some small changes",1,0,0,0,0,0,0,0,0,1,0,0,"Significant challenges","Good",91883.7323207129,119256.221967993,74603.6440009737,"(55,80]","3","1","(3050,3150]",2021,"January"
"30","Yes",100,"Agreed","Never","Didn't work","30-40 hours  ","Didn't work",1,0,1,0,0,0,0,0,1,0,"Unpredictable","Unpredictable",0,1,1,0,0,0,0,1,0,1,0,0,"Some challenges","Some challenges",4767.07128782367,108162.233162332,97188.5975599223,"(45,55]","2","0","(3150,3250]",2021,"January"
"31","Yes",100,"Agreed","Always","Always","40+ hours ","40+ hours",1,0,0,0,1,0,0,1,1,0,"No changes","Unpredictable",0,0,0,0,0,0,1,0,0,0,0,1,"Good","Some challenges",131718.500034547,135796.65561097,114756.449130331,"(24,45]","1","0","(3150,3250]",2021,"January"
"32","Yes",100,"Agreed","Always","Didn't work","40+ hours ","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"No changes",NA,0,0,0,0,1,0,0,0,0,1,0,1,"Significant challenges","Some challenges",81766.3208298967,2225.70258017319,67214.7559855137,"(45,55]","1","0","(3000,3050]",2021,"January"
"33","Yes",100,"Agreed","Always","Didn't work","10-20 hours  ","Didn't work",0,0,1,0,0,NA,NA,NA,NA,NA,"Unpredictable",NA,0,0,0,0,0,0,1,0,0,1,0,1,"Good","Some challenges",157285.826442912,-817.554338400537,147832.301120435,"(24,45]","3","0","(3000,3050]",2021,"January"
"34","Yes",100,"Agreed","About half the time","Always","Didn't work","10-20 hours",1,0,1,0,0,0,0,1,0,0,"No changes","Unpredictable",1,0,0,0,0,0,0,0,0,0,0,0,"Good","Some challenges",232899.936844768,223393.52245477,212049.387251535,"(24,45]","2","1","(3050,3150]",2021,"January"
"35","Yes",100,"Agreed","Never","Always","40+ hours ","Didn't work",0,0,0,0,0,1,0,0,0,0,"Some small changes","Varying",0,0,0,0,0,0,0,0,0,1,1,0,"Significant challenges","Significant challenges",109607.16076734,108878.564796478,98895.0635005906,"(24,45]","3","2","(3050,3150]",2021,"January"
"36","Yes",100,"Agreed","Never","Always","30-40 hours  ","40+ hours",1,0,0,1,0,0,0,0,0,0,"Some small changes","Varying",0,0,0,0,0,0,0,0,0,1,0,0,"Significant challenges","Significant challenges",99163.76461988,89867.3608064562,77552.0157608418,"(55,80]","2","1","(3150,3250]",2021,"January"
"37","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",1,0,0,1,0,NA,NA,NA,NA,NA,"Some small changes",NA,0,0,1,0,0,0,0,0,0,1,0,0,"Some challenges","Some challenges",151511.36553439,256.483965381927,117539.850326721,"(45,55]","2","0","(3150,3250]",2021,"January"
"38","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"No changes",NA,1,0,0,0,1,1,1,0,1,1,0,0,"Significant challenges","Some challenges",153690.367113909,1586.52190898998,138422.053347669,"(24,45]","2","0","(3050,3150]",2021,"January"
"39","Yes",100,"Agreed","Never","Always","40+ hours ","Didn't work",1,0,0,0,0,0,0,0,1,1,"No changes","Unpredictable",1,0,1,0,0,1,1,0,0,0,0,0,"Good","Some challenges",89602.1047205985,92630.5237688853,78225.6169050693,"(55,80]","1","2","(3150,3250]",2021,"January"
"40","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",1,0,1,0,0,NA,NA,NA,NA,NA,"Some small changes",NA,1,0,1,0,0,0,1,0,0,1,0,0,"Good","Good",189882.448450232,-3316.60451907874,167453.594505279,"(24,45]","2","1","(3050,3150]",2021,"January"
"41","Yes",100,"Agreed","Sometimes","Didn't work","40+ hours ","less than 10 hours",1,0,0,0,0,0,0,0,1,0,"No changes","No changes",1,1,0,0,0,0,0,0,0,1,0,1,"Some challenges","Some challenges",139836.244930748,138443.688441651,116975.489080712,"(45,55]","1","1","(3150,3250]",2021,"January"
"42","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",0,0,0,0,1,NA,NA,NA,NA,NA,"Varying",NA,1,0,1,1,0,1,1,0,0,1,0,0,"Good","Some challenges",163415.173161491,506.311751331146,139962.993614515,"(55,80]","More than 3","0","(3000,3050]",2021,"January"
"43","Yes",100,"Agreed","Never","Never","30-40 hours  ","Didn't work",1,0,0,0,0,1,0,0,1,0,"No changes","Varying",0,1,1,0,0,0,0,0,0,1,0,1,"Good","Good",116031.235602478,126344.785147005,93146.8662747361,"(55,80]","3","0","(3150,3250]",2021,"January"
"44","Yes",100,"Agreed","Most of the time","Didn't work","10-20 hours  ","Didn't work",1,0,0,0,1,NA,NA,NA,NA,NA,"No changes",NA,1,0,1,0,1,0,0,0,0,1,0,1,"Some challenges","Significant challenges",175773.424805852,-172.469608244746,162515.918556862,"(24,45]","1","1","(3150,3250]",2021,"January"
"45","Yes",100,"Agreed","Never","Always","40+ hours ","Didn't work",1,0,1,0,0,0,0,0,0,0,"No changes","Unpredictable",1,0,1,1,0,0,1,0,0,1,0,1,"Some challenges","Good",3740.27650875191,52179.0299349144,43971.7763117984,"(55,80]","3","0","(3000,3050]",2021,"January"
"46","Yes",100,"Agreed","Sometimes","Didn't work","40+ hours ","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"No changes",NA,1,0,0,0,0,0,1,0,0,0,0,0,"Good","Significant challenges",56247.3256332224,-4281.47812199574,43175.5898946788,"(45,55]","2","1","(3150,3250]",2021,"January"
"47","Yes",100,"Agreed","Never","Didn't work","30-40 hours  ","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"No changes",NA,1,0,0,0,0,1,0,0,1,1,0,0,"Significant challenges","Some challenges",112754.315053574,-1538.2073033604,93602.5939731902,"(24,45]","1","1","(3050,3150]",2021,"January"
"48","Yes",100,"Agreed","Always","Didn't work","20-30 hours  ","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"Unpredictable",NA,0,0,0,0,0,0,1,0,0,1,0,0,"Significant challenges","Significant challenges",63741.3192565444,7662.83343412669,47739.7342139874,"(45,55]","1","1","(3150,3250]",2021,"January"
"49","Yes",100,"Agreed","Never","Always","40+ hours ","Didn't work",1,0,1,0,0,0,0,1,1,1,"No changes","Unpredictable",0,0,1,0,1,0,1,0,0,1,0,1,"Good","Some challenges",221765.214107796,225544.849525615,203561.687014449,"(45,55]","3","0","(3150,3250]",2021,"January"
"50","Yes",100,"Agreed","Never","Always","30-40 hours  ","Didn't work",0,1,1,0,1,0,1,0,0,0,"Unpredictable","Unpredictable",0,0,1,1,0,1,1,0,0,0,1,0,"Some challenges","Good",102910.046561197,101973.685087825,77501.8550360146,"(24,45]","1","1","(3000,3050]",2021,"January"
"51","Yes",100,"Agreed","Most of the time","About half the time","30-40 hours  ","40+ hours",1,0,0,0,1,0,0,0,1,1,"No changes","No changes",0,0,0,0,0,0,0,0,0,1,0,0,"Some challenges","Significant challenges",148336.015742462,144156.320934952,134988.824405701,"(24,45]","More than 3","0","(3000,3050]",2021,"January"
"52","Yes",100,"Agreed","Never","Always","40+ hours ","40+ hours",1,0,1,1,0,1,1,0,1,0,"No changes","Unpredictable",0,0,1,0,0,0,1,0,1,1,0,0,"Significant challenges","Good",239163.767928427,246200.354426866,218381.992957765,"(55,80]","1","0","(3050,3150]",2021,"January"
"53","Yes",100,"Agreed","Never","Didn't work","30-40 hours  ","Didn't work",1,0,1,0,1,NA,NA,NA,NA,NA,"No changes",NA,1,0,1,0,1,0,1,0,0,1,0,1,"Good","Good",103178.343034198,1829.20720636167,96369.7541948506,"(55,80]","3","1","(3000,3050]",2021,"January"
"54","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",0,0,0,1,0,NA,NA,NA,NA,NA,"No changes",NA,1,0,0,0,0,1,1,0,0,1,0,0,"Significant challenges","Significant challenges",422.002238491439,1877.67982633635,116971.551870965,"(45,55]","3","2","(3150,3250]",2021,"January"
"55","Yes",100,"Agreed","Most of the time","Never","40+ hours ","20-30 hours",1,0,0,0,0,1,0,0,1,0,"No changes","Unpredictable",0,0,1,0,1,0,1,0,0,0,1,0,"Good","Good",142344.689720324,162582.647902735,130537.59428163,"(24,45]","3","0","(3050,3150]",2021,"January"
"56","Yes",100,"Agreed","Never","Always","40+ hours ","Didn't work",1,0,0,0,0,1,1,0,0,0,"No changes","No changes",0,0,1,0,0,0,0,0,1,1,1,1,"Significant challenges","Good",87342.7506940199,83478.2648725662,61402.5699298398,"(45,55]","1","1","(3150,3250]",2021,"January"
"57","Yes",100,"Agreed","Never","Always","30-40 hours  ","Didn't work",1,0,0,0,0,0,1,0,0,0,"No changes","Unpredictable",1,0,1,0,1,1,1,1,0,1,0,1,"Significant challenges","Some challenges",151831.115307037,145386.951163528,123304.936170913,"(55,80]","3","0","(3000,3050]",2021,"January"
"58","Yes",100,"Agreed","Most of the time","Always","40+ hours ","40+ hours",0,0,0,1,0,0,0,0,1,0,"Some small changes","Some small changes",0,1,0,0,0,0,0,0,0,1,0,1,"Good","Some challenges",156922.025651203,136127.399908603,124083.122023979,"(55,80]","2","2","(3050,3150]",2021,"January"
"59","Yes",100,"Agreed","Never","Always","40+ hours ","30-40 hours",1,0,0,0,0,0,0,1,0,0,"Some small changes","Varying",0,0,0,0,0,0,1,0,0,1,0,0,"Good","Significant challenges",95074.4668457742,82769.6640282266,69960.0165985257,"(45,55]","2","More than 2","(3050,3150]",2021,"January"
"60","Yes",100,"Agreed","Never","Always","40+ hours ","Didn't work",1,0,1,0,0,0,1,1,1,0,"Unpredictable","Varying",0,0,0,0,0,0,1,0,0,1,0,0,"Some challenges","Some challenges",161213.032229194,159634.508493666,148338.947235278,"(15,24]","2","1","(3050,3150]",2021,"January"
"61","Yes",100,"Agreed","Never","Most of the time","40+ hours ","less than 10 hours",1,0,0,0,1,0,0,1,1,1,"Some small changes","Unpredictable",1,0,0,0,0,0,1,1,0,0,1,0,"Good","Significant challenges",167590.139691178,165385.845636167,144660.994295462,"(55,80]","3","1","(3000,3050]",2021,"January"
"62","Yes",100,"Agreed","Sometimes","Always","Didn't work","40+ hours",1,0,0,0,0,0,0,0,0,0,"No changes","Varying",0,0,0,0,0,0,1,0,0,1,0,0,"Significant challenges","Some challenges",130773.500727309,135161.202659309,112445.515675323,"(24,45]","1","1","(3050,3150]",2021,"January"
"63","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"Some small changes",NA,1,0,1,0,1,0,1,0,0,0,1,1,"Good","Good",98298.757197701,328.426168911975,65160.551505688,"(55,80]","2","1","(3050,3150]",2021,"January"
"64","Yes",100,"Agreed","Always","Didn't work","20-30 hours  ","Didn't work",1,0,1,0,0,NA,NA,NA,NA,NA,"No changes",NA,0,0,0,0,0,0,1,0,0,1,0,1,"Good","Some challenges",167989.663906064,7053.51029181783,159330.196349761,"(24,45]","1","0","(3000,3050]",2021,"January"
"65","Yes",100,"Agreed","Always","Always","40+ hours ","40+ hours",1,0,0,0,1,0,0,0,1,0,"Unpredictable","Varying",0,0,1,1,0,1,1,0,0,0,1,0,"Some challenges","Significant challenges",105896.408413715,108772.689352776,75686.0485808808,"(45,55]","2","1","(3050,3150]",2021,"January"
"66","Yes",100,"Agreed","Never","Sometimes","40+ hours ","30-40 hours",1,0,0,0,0,1,0,0,1,1,"No changes","Unpredictable",0,0,1,0,0,0,1,0,0,0,0,0,"Significant challenges","Good",124215.929486355,124135.102788995,105713.835080978,"(55,80]","2","1","(3050,3150]",2021,"January"
"67","Yes",100,"Agreed","Never","Always","40+ hours ","30-40 hours",1,0,0,0,0,1,0,1,1,0,"No changes","Unpredictable",0,0,1,0,1,0,0,0,0,1,0,1,"Significant challenges","Some challenges",207491.461502828,198781.377421297,187790.061721474,"(24,45]","More than 3","1","(3000,3050]",2021,"January"
"68","Yes",100,"Agreed","Never","Sometimes","40+ hours ","Didn't work",1,0,0,0,0,0,0,0,1,1,"No changes","No changes",1,0,1,1,0,1,1,0,0,0,0,1,"Good","Good",112470.742359771,103978.422289734,91174.2643986159,"(24,45]","2","2","(3150,3250]",2021,"January"
"69","Yes",100,"Agreed","Never","Didn't work","40+ hours ","40+ hours",1,1,1,0,0,1,0,0,1,1,"No changes","Some small changes",1,0,0,0,0,0,0,0,0,1,0,1,"Significant challenges","Significant challenges",80085.2144499722,80023.3063409357,60084.875537523,"(24,45]","3","1","(3050,3150]",2021,"January"
"70","Yes",100,"Agreed","Always","Always","40+ hours ","less than 10 hours",1,0,0,0,0,0,0,1,0,0,"No changes","No changes",1,0,1,0,0,1,0,0,0,0,0,0,"Good","Significant challenges",137637.500520721,125269.862214969,114468.708480859,"(55,80]","1","2","(3000,3050]",2021,"January"
"71","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"No changes",NA,1,0,1,0,0,0,0,0,0,0,1,0,"Some challenges","Significant challenges",214615.085367714,1220.38415163853,195494.557343403,"(45,55]","2","0","(3050,3150]",2021,"January"
"72","Yes",100,"Agreed","Never","Never","40+ hours ","Didn't work",0,0,0,0,0,0,1,0,1,0,"No changes","No changes",1,0,0,0,1,1,0,0,0,1,0,0,"Good","Significant challenges",94458.0408013412,99549.363989895,73710.560016775,"(45,55]","3","2","(3050,3150]",2021,"January"
"73","Yes",100,"Agreed","Sometimes","Always","40+ hours ","Didn't work",0,0,1,0,0,1,0,0,0,1,"Unpredictable","Some small changes",1,0,1,0,0,0,1,0,0,1,0,1,"Good","Significant challenges",99783.8712939806,96864.638373081,79454.311335664,"(45,55]","2","More than 2","(3050,3150]",2021,"January"
"74","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"No changes",NA,0,0,1,0,0,0,1,0,0,0,0,1,"Good","Significant challenges",94978.1429331829,-3339.52053940652,81375.9350775367,"(45,55]","1","0","(3050,3150]",2021,"January"
"75","Yes",100,"Agreed","Never","Always","Didn't work","Didn't work",1,0,0,1,1,0,0,1,0,0,"Some small changes","No changes",0,0,1,0,1,0,0,0,1,1,0,0,"Significant challenges","Some challenges",-4173.69891140877,109880.956213879,103690.373638014,"(55,80]","2","0","(3050,3150]",2021,"January"
"76","Yes",100,"Agreed","Never","Always","40+ hours ","Didn't work",1,0,1,0,0,1,0,1,1,0,"No changes","Varying",1,0,1,0,0,0,1,0,1,1,0,0,"Significant challenges","Significant challenges",92073.7984471574,89059.1832628119,72484.9078514945,"(24,45]","2","0","(3150,3250]",2021,"January"
"77","No",27.5,"Agreed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96037.4736901466,"(45,55]","3","0","(3150,3250]",NA,NA
"78","Yes",100,"Agreed","Always","About half the time","40+ hours ","40+ hours",1,0,0,1,0,0,0,0,0,0,"Some small changes","Varying",1,1,0,0,0,0,0,0,1,1,0,1,"Significant challenges","Some challenges",194507.356293345,196652.445271804,169810.041563815,"(45,55]","1","1","(3150,3250]",2021,"January"
"79","Yes",100,"Agreed","About half the time","Didn't work","40+ hours ","40+ hours",1,0,0,0,0,0,0,0,1,0,"No changes","Some small changes",0,0,1,0,0,0,0,0,0,0,0,1,"Good","Some challenges",140826.673717779,127340.585361976,116927.170239931,"(24,45]","3","1","(3000,3050]",2021,"January"
"80","Yes",100,"Agreed","Never","Always","40+ hours ","Didn't work",1,0,0,0,0,0,0,0,1,0,"Some small changes","Unpredictable",0,0,1,0,1,0,0,1,0,1,0,1,"Good","Good",-4083.89188703524,102874.385377315,93490.9036293608,"(55,80]","2","0","(3000,3050]",2021,"January"
"81","Yes",100,"Agreed","Never","Always","20-30 hours  ","Didn't work",1,0,1,0,0,0,0,0,1,0,"No changes","Unpredictable",0,0,1,0,0,0,0,0,0,1,0,1,"Significant challenges","Some challenges",71191.1513249635,44977.7909873757,32199.2776968235,"(24,45]","1","0","(3150,3250]",2021,"January"
"82","Yes",100,"Agreed","Always","About half the time","40+ hours ","40+ hours",1,0,0,0,0,1,1,1,1,1,"No changes","Some small changes",0,0,1,0,1,0,1,0,1,1,0,0,"Good","Significant challenges",129135.992931903,137903.134066263,117082.912508454,"(55,80]","1","2","(3150,3250]",2021,"January"
"83","Yes",100,"Agreed","Sometimes","Always","40+ hours ","Didn't work",1,0,1,0,0,1,0,0,1,0,"Unpredictable","Some small changes",0,0,0,0,0,0,0,0,0,1,0,0,"Significant challenges","Significant challenges",80816.3827542925,88978.4470916146,55680.0168528741,"(45,55]","3","1","(3150,3250]",2021,"January"
"84","Yes",100,"Agreed","Never","Didn't work","30-40 hours  ","Didn't work",1,0,0,0,0,NA,NA,NA,NA,NA,"Varying",NA,0,0,0,0,0,0,1,0,0,1,0,1,"Good","Good",148603.359534346,-1459.8913893091,131183.702616304,"(55,80]","3","0","(3000,3050]",2021,"January"
