Variable,Variable Label,Item Specific Information,Derivation technique (if derived),Specific Values in Dataset (if present),Value Label (if any),Count
"Connected_lifestyle_19					","When you think about your home life in 2019, how would you describe it? (tick all that apply)- Connected (4)",Direct,,0,No,781
"					",,,,1,Yes,203
"					",,,,NA,Unanswered,16
"Peaceful_lifestyle_19					","When you think about your home life in 2019, how would you describe it? (tick all that apply)- Peaceful (5)",Direct,,0,No,786
"					",,,,1,Yes,198
"					",,,,NA,Unanswered,16
"Chaotic_lifestyle_19					","When you think about your home life in 2019, how would you describe it? (tick all that apply)- Chaotic (6)",Direct,,0,No,778
"					",,,,1,Yes,206
"					",,,,NA,Unanswered,16
"Comfortable_lifestyle_20					","When you think about your home life in 2020, how would you describe it? (tick all that apply)- Comfortable (1)",Direct,,0,No,478
"					",,,,1,Yes,506
"					",,,,NA,Unanswered,16
"Lonely_lifestyle_20					","When you think about your home life in 2020, how would you describe it? (tick all that apply)- Lonely (2)",Direct,,0,No,888
"					",,,,1,Yes,96
"					",,,,NA,Unanswered,16
"Active_lifestyle_20					","When you think about your home life in 2020, how would you describe it? (tick all that apply)- Active (3) ",Direct,,0,No,886
"					",,,,1,Yes,98
"					",,,,NA,Unanswered,16
"Connected_lifestyle_20					","When you think about your home life in 2020, how would you describe it? (tick all that apply)- Connected (4)",Direct,,0,No,373
"					",,,,1,Yes,611
"					",,,,NA,Unanswered,16
"Peaceful_lifestyle_20					","When you think about your home life in 2020, how would you describe it? (tick all that apply)- Peaceful (5)",Direct,,0,No,802
"					",,,,1,Yes,182
"					",,,,NA,Unanswered,16
"Chaotic_lifestyle_20					","When you think about your home life in 2020, how would you describe it? (tick all that apply)- Chaotic (6)",Direct,,0,No,583
"					",,,,1,Yes,401
"					",,,,NA,Unanswered,16
"Mental_health_19					",What best describes your mental health in 2019?,Direct,,Good ,,485
"					",,,,Some challenges ,,252
"					",,,,Significant challenges ,,243
,,,,NA,Unanswered,20
"Mental_health_20					",What best describes your mental health in 2020?,Direct,,Good ,,357
"					",,,,Some challenges ,,327
"					",,,,Significant challenges ,,295
,,,,NA,Unanswered,21
"Expected_Income_2021					",What is your expected income in 2021?,Derived,Addition of noise in the orignal expected income value of 2021.,HAS RANGE OF VALUES,,
"Income_2020					",What is your household income in 2020?,Derived,Addition of noise in the orignal income value of 2020.,HAS RANGE OF VALUES,,
"Income_2019					",What is your household income in 2019?,Derived,Addition of noise in the orignal income value of 2019.,HAS RANGE OF VALUES,,
"Age_Group					",How old are you?,Derived,Aggregation of age into groups.,15-24,,4
,,,,24-45,,312
,,,,45-55,,389
,,,,55- 80,,292
,,,,80-150,,2
,,,,NA,,1
"Adult_count					",How many adults live in your household?,Derived,"Count marked as '3+' for greater than 3, values.",0,0 no. of adults ,0
,,,,1,1 adult ,322
,,,,2,2 adults,365
,,,,3,3 adults,257
,,,,More than 3,More than 3 adults,54
,,,,NA,Unanswered,2
"Children_count					",How many children(<18) live in your household?,Derived,"Count marked as '2+' for greater than 2, values.",0,0 No. of children,332
,,,,1,1 child,373
,,,,2,2 children,240
,,,,More than 2,More than 2 children,53
,,,,NA,Unanswered,2
"Postcode_range					",Please confirm your postcode,Derived,Aggregation of postcode into groups.,0-3000,,2
,,,,3000-3050,,227
,,,,3050-3150,,479
,,,,3150-3250,,289
,,,,NA,,3
"Year_of_record					",The year when that particular data entry of the survey was recorded.,Derived,Year derived from the recorded date in the orignal dataset.,2021,,979
,,,,NA,,21
"Month_of_record					",The month when that particular data entry of the survey was recorded.,Derived,Month derived from the recorded date in the orignal dataset.,January,,977
,,,,February,,2
"					",,,,NA,,21
"The variable ""Progress"" and ""all income variables""  have a range of values  i.e. do not have specific values. All these variables also have NA values .",,,,,,
